Nif_Leptolyngbya_sp_JSC-1,nif-i
Nif_Leptospirillum_ferriphilum,nif-i
Nif_Lyngbya_sp_PCC_8106,nif-i
Nif_magneto-ovoid_bacterium_MO-1,nif-i
Nif_Magnetovibrio_blakemorei,nif-i
Nif_Malonomonas_rubra,nif-i
Nif_Mangrovibacter_sp_MFB070,nif-i
Nif_Marinobacter_sp_ES-1,nif-i
Nif_Mariprofundus_ferrooxydans,nif-i
Nif_Martelella_sp_BGMRC2036,nif-i
Nif_Methyloferula_stellata,nif-i
Nif_Methyloglobulus_morosus,nif-i
Nif_Methylomonas_koyamae,nif-i
Nif_Methyloprofundus_sedimenti,nif-i
Nif_Neorhizobium_galegae,nif-i
Nif_Nitrospirae_bacterium,nif-i
Nif_Nitrospirae_bacterium_GWC2_57_13,nif-i
Nif_Oceanospirillaceae_bacterium,nif-i
Nif_Oxalobacter_sp,nif-i
Nif_Pantoea_cypripedii,nif-i
Nif_Pelobacter_acetylenicus,nif-i
Nif_Pelomonas_saccharophila,nif-i
Nif_Pelotomaculum_sp_FP,nif-i
Nif_Peptococcaceae_bacterium_CEB3,nif-i
Nif_Phaeospirillum_fulvum,nif-i
Nif_Planktothrix_tepida,nif-i
Nif_Pleomorphomonas_carboxyditropha,nif-i
Nif_Polaromonas_naphthalenivorans,nif-i
Nif_Propionivibrio_dicarboxylicus,nif-i
Nif_Proteobacteria_bacterium_CG1_02_64_396,nif-i
Nif_Rhizobiales_bacterium,nif-i
Nif_Rhodobacteraceae_bacterium,nif-i
Nif_Rhodoblastus_acidophilus,nif-i
Nif_Rhodocyclaceae_bacterium,nif-i
Nif_Rhodopila_globiformis,nif-i
Nif_Rhodopseudomonas_palustris,nif-i
Nif_Rhodospirillaceae_bacterium_BRH_c57,nif-i
Nif_Rhodothalassium_salexigens,nif-i
Nif_Rhodovibrio_salinarum,nif-i
Nif_Roseospirillum_parvum,nif-i
Nif_Seleniivibrio_woodruffii,nif-i
Nif_Serratia_sp_ATCC_39006,nif-i
Nif_Skermanella_aerolata,nif-i
Nif_Sodalis_sp_159R,nif-i
Nif_Solimonas_aquatica,nif-i
Nif_Sulfuricurvum_kujiense,nif-i
Nif_Sulfurimonas_sp_RIFOXYD12_FULL_33_39,nif-i
Nif_Sulfurivermis_fontis,nif-i
Nif_Sulfurovum_sp_FS08-3,nif-i
Nif_Telmatospirillum_siberiense,nif-i
Nif_Thermicanus_aegyptius,nif-i
Nif_Thermodesulfovibrio_aggregans,nif-i
Nif_Thioflavicoccus_mobilis,nif-i
Nif_Thioploca_ingrica,nif-i
Nif_Thiorhodococcus_drewsii,nif-i
Nif_Tolumonas_lignilytica,nif-i
Nif_Varunaivibrio_sulfuroxidans,nif-i
Nif_Vibrio_aerogenes,nif-i
Nif_Vulcanococcus_limneticus,nif-i
Nif_Wolinella_succinogenes,nif-i
Nif_Zymomonas_mobilis,nif-i
Nif_Acetobacterium_woodii,nif-ii
Nif_Actinobacteria_bacterium_HGW-Actinobacteria-2,nif-ii
Nif_Alkalibacter_saccharofermentans,nif-ii
Nif_Alkaliflexus_imshenetskii,nif-ii
Nif_Alkaliphilus_metalliredigens,nif-ii
Nif_Anaeroarcus_burkinensis,nif-ii
Nif_Anaerobacterium_chartisolvens,nif-ii
Nif_Anaerocolumna_jejuensis,nif-ii
Nif_Anaerospora_hongkongensis,nif-ii
Nif_Anaerosporobacter_mobilis,nif-ii
Nif_Anaerosporomusa_subterranea,nif-ii
Nif_Anaerotignum_neopropionicum,nif-ii
